アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,Body Battery消費量,減圧,ベストラップタイム,ラップ数,移動時間,経過時間,最低高度,最高高度
ラン,2026-02-22 09:38:10,false,"中央区 - Osaka Marathon","42.75","3,248","05:17:50","159","184","5.0","142","246","7:26","3:53","93","99","0.86","8.8","7.5","307","7:24","249","0.0","216","478","50,146","-16","いいえ","00:05:49.4","43","05:17:04","05:17:50","10","42"
ラン,2026-02-01 09:23:52,false,"新宿区 ラン","21.97","1,632","02:45:59","139","169","4.0","155","236","7:33","3:39","52","68","0.84","9.4","7.8","275","7:27","247","0.0","236","521","26,468","-11","いいえ","00:06:57.4","22","02:37:32","04:28:32","11","58"
ラン,2026-01-30 16:14:47,false,"川口市 ラン","6.75","521","00:45:48","151","160","3.1","169","177","6:47","5:18","31","38","0.87","9.3","8.1","275","6:49","264","0.0","263","362","7,774","-6","いいえ","00:04:54.3","7","00:45:43","00:49:39","2","17"
ラン,2026-01-30 16:09:59,false,"川口市 ラン","1.08","43","00:04:16.4","131","145","0.7","156","176","3:57","2:22","--","--","0.90","9.3","8.2","276","6:50","267","0.0","249","682","680","-1","いいえ","00:00:40.1","2","00:04:06","00:04:23.6","7","9"
トレイルラン,2026-01-24 10:45:21,false,"南房総市 トレイルラン","24.64","2,485","03:51:29","166","191","5.0","123","250","9:24","4:39","1,234","1,245","0.85","9.1","7.3","295","8:09","253","0.0","208","580","30,474","-9","いいえ","00:00:00.8","26","03:33:02","04:11:11","-4","276"
ラン,2026-01-21 17:07:39,false,"川口市 ラン","7.25","564","00:46:33","156","182","3.5","168","183","6:25","4:41","3","14","0.92","9.0","8.2","269","6:27","277","0.0","275","394","7,916","-3","いいえ","00:01:23.2","8","00:46:15","00:52:00","-1","16"
ラン,2026-01-20 17:18:47,false,"川口市 ラン","4.17","312","00:28:01","144","170","2.8","159","192","6:43","5:09","29","36","0.92","9.1","8.3","277","6:42","278","0.0","271","457","4,536","-4","いいえ","00:01:51.2","5","00:27:47","00:37:02","5","15"
ラン,2026-01-10 17:14:02,false,"渋谷区 ラン","14.08","1,045","01:32:42","147","169","3.8","163","241","6:35","4:35","121","138","0.92","8.9","8.1","271","6:34","272","0.0","266","504","15,308","-9","いいえ","00:00:46.4","15","01:31:54","02:02:08","20","47"
ラン,2026-01-07 16:31:00,false,"川口市 ラン","8.85","628","00:51:41","144","166","3.6","167","231","5:50","4:47","14","13","1.00","8.5","8.5","262","5:53","298","0.0","301","394","8,736","-9","いいえ","00:04:38.6","9","00:51:18","01:12:43","-0","10"
ラン,2026-01-06 18:46:37,false,"川口市 ラン","5.21","361","00:30:12","143","164","3.1","168","217","5:48","4:21","3","5","1.00","8.5","8.4","260","5:55","299","0.0","298","439","5,140","-6","いいえ","00:00:58.9","6","00:29:52","00:42:56","0","14"
ラン,2026-01-04 09:50:36,false,"川口市 ラン","21.33","1,571","02:26:16","143","162","4.4","162","247","6:52","3:48","110","96","0.88","9.0","7.8","271","6:49","266","0.0","260","539","24,092","-5","いいえ","00:03:09.5","22","02:25:18","03:10:49","7","55"
ラン,2026-01-03 17:40:25,false,"川口市 ラン","3.81","284","00:26:33","138","154","2.5","169","179","6:58","4:03","13","7","0.84","9.4","7.9","273","6:56","262","0.0","261","479","4,530","-2","いいえ","00:05:31.7","4","00:26:22","00:28:21","1","16"
ラン,2026-01-02 14:43:45,false,"川口市 ラン","15.51","1,149","01:44:31","146","168","4.1","162","214","6:44","3:50","44","30","0.90","8.8","7.9","266","6:45","274","0.0","263","506","17,154","-10","いいえ","00:03:26.8","16","01:41:20","02:15:39","3","21"
ラン,2025-12-31 08:59:24,false,"川口市 ラン","7.17","526","00:44:31","144","164","3.3","172","184","6:12","5:04","6","9","0.93","8.8","8.1","263","6:15","287","0.0","285","364","7,688","-8","いいえ","00:00:57.6","8","00:44:19","00:51:49","3","17"
ラン,2025-12-31 08:58:54,false,"ベース","0.00","--","00:00:09.3","77","80","0.0","137","172","--","--","--","--","0.00","--","--","--","--","--","0.0","--","--","16","--","いいえ","00:00:00.8","3","00:00:00","00:00:09.3","50","51"
ラン,2025-12-19 16:39:24,false,"川口市 ラン","13.75","1,022","01:29:35","147","166","3.8","166","235","6:31","4:06","32","37","0.93","9.1","8.4","275","6:31","279","0.0","279","481","14,866","-14","いいえ","00:04:32.0","14","01:29:07","01:55:48","2","29"
ラン,2025-12-17 08:52:41,false,"川口市 ラン","11.80","867","01:14:04","149","171","3.9","166","178","6:17","4:18","24","36","0.95","8.9","8.4","269","6:17","287","0.0","284","436","12,364","-20","いいえ","00:04:57.4","12","01:13:53","01:31:53","5","23"
ラン,2025-12-15 09:07:24,false,"川口市 ラン","12.68","906","01:23:34","141","162","3.6","164","177","6:36","5:15","22","41","0.91","9.0","8.2","271","6:38","283","0.0","276","398","13,758","-17","いいえ","00:04:19.5","13","01:22:36","01:43:13","3","22"
ラン,2025-12-13 08:40:37,false,"川口市 ラン","12.10","920","01:25:20","145","170","3.6","157","243","7:03","3:45","39","24","0.89","9.0","8.0","272","7:00","270","0.0","255","504","13,560","-10","いいえ","00:00:44.0","13","01:22:45","01:55:58","7","28"
ラン,2025-12-08 09:46:04,false,"川口市 ラン","5.07","380","00:35:26","140","159","2.8","156","240","6:59","3:05","26","22","0.90","8.9","7.9","274","6:57","276","0.0","262","421","5,612","-8","いいえ","00:00:26.6","6","00:35:10","00:44:29","1","26"
